breed,year,n
PORTUGUESE WATER DOG,2000,45
PUG,2000,861
PYRENEAN MASTIFF ,2000,0
PYRENEAN MOUNTAIN DOG,2000,295
PYRENEAN SHEEPDOG,2000,10
RETRIEVER Chesapeake Bay,2000,151
RETRIEVER Curlycoated,2000,140
RETRIEVER Flatcoated,2000,1258
RETRIEVER Golden,2000,12772
RETRIEVER Labrador,2000,34888
RETRIEVER Nova Scotia Duck Tolling,2000,86
RHODESIAN RIDGEBACK,2000,1390
ROTTWEILER,2000,5226
RUSSIAN BLACK TERRIER,2000,35
SALUKI,2000,125
SAMOYED,2000,773
SCHIPPERKE,2000,146
SCHNAUZER,2000,315
SCOTTISH TERRIER,2000,1222
SEALYHAM TERRIER,2000,48
SEGUGIO ITALIANO ,2000,0
SHAR PEI,2000,1103
SHETLAND SHEEPDOG,2000,2103
SHIH TZU,2000,3782
SIBERIAN HUSKY,2000,829
SKYE TERRIER,2000,65
sloughi,2000,20
SLOVAKIAN ROUGH HAIRED POINTER ,2000,5
SMALL MUNSTERLANDER ,2000,0
SOFTCOATED WHEATEN TERRIER,2000,260
SPANIEL American Cocker,2000,610
SPANIEL American Water ,2000,0
SPANIEL Clumber,2000,150
SPANIEL Cocker,2000,13445
SPANIEL English Springer,2000,12599
SPANIEL Field,2000,97
SPANIEL Irish Water,2000,142
SPANIEL Sussex,2000,98
SPANIEL Welsh Springer,2000,424
SPANISH WATER DOG,2000,13
st bernard,2000,944
STAFFORDSHIRE BULL TERRIER,2000,11026
SWEDISH LAPPHUND,2000,0
SWEDISH VALLHUND,2000,64
TIBETAN MASTIFF,2000,47
TIBETAN SPANIEL,2000,329
TIBETAN TERRIER,2000,1236
WEIMARANER,2000,2694
WELSH CORGI Cardigan,2000,77
WELSH CORGI Pembroke,2000,647
WELSH TERRIER,2000,263
WEST HIGHLAND WHITE TERRIER,2000,13051
WHIPPET,2000,1686
YORKSHIRE TERRIER,2000,6787
AFFENPINSCHER,2001,115
AFGHAN HOUND,2001,228
AIREDALE TERRIER,2001,848
AKITA,2001,1236
ALASKAN MALAMUTE,2001,156
ANATOLIAN SHEPHERD DOG,2001,46
AUSTRALIAN  CATTLE DOG,2001,55
AUSTRALIAN SHEPHERD,2001,87
AUSTRALIAN SILKY TERRIER,2001,17
AUSTRALIAN TERRIER,2001,47
AZAWAKH,2001,0
BASENJI,2001,69
BASSET BLEU DE GASCOGNE,2001,7
BASSET FAUVE DE BRETAGNE,2001,40
BASSET GRIFFON VENDEEN Petit,2001,165
BASSET HOUND,2001,1047
basset GRIFFON VENDEEN Grand,2001,119
BAVARIAN MOUNTAIN HOUND,2001,0
BEAGLE,2001,980
BEARDED COLLIE,2001,721
BEAUCERON,2001,7
BEDLINGTON TERRIER,2001,416
BELGIAN SHEPHERD DOG,2001,304
BERGAMASCO,2001,10
BERNESE MOUNTAIN DOG,2001,692
BICHON FRISE,2001,2258
BLOODHOUND,2001,90
BOLOGNESE,2001,48
BORDER COLLIE,2001,2010
BORDER terrier,2001,4484
BORZOI,2001,202
BOSTON TERRIER,2001,191
BOUVIER DES FLANDRE,2001,137
BOXER,2001,9034
BOXER Crossbreed,2001,0
BRACCO ITALIANO,2001,25
BRIARD,2001,222
BRITTANY ,2001,103
BULL TERRIER,2001,2419
BULL TERRIER Miniature,2001,161
BULLDOG,2001,1878
BULLMASTIFF,2001,2058
CAIRN TERRIER,2001,1550
CANAAN DOG,2001,18
CANADIAN ESKIMO DOG,2001,8
CATALAN SHEEPDOG,2001,0
CAVALIER KING CHARLES SPANIEL,2001,10309
CESKY TERRIER,2001,33
CHIHUAHUA Long Coat,2001,907
CHIHUAHUA Smooth Coat,2001,372
CHINESE CRESTED ,2001,312
CHOW CHOW,2001,482
CIRNECO DELLETNA,2001,0
COLLIE Rough,2001,1659
COLLIE Smooth,2001,58
COTON DE TULEAR,2001,10
DACHSHUND LongHaired,2001,204
DACHSHUND Miniature LongHaired,2001,1385
DACHSHUND Miniature SmoothHaired,2001,1052
DACHSHUND Miniature WireHaired,2001,615
DACHSHUND SmoothHaired,2001,218
DACHSHUND WireHaired,2001,229
DALMATIAN,2001,2062
DANDIE DINMONT TERRIER,2001,96
DEERHOUND,2001,217
DOBERMANN,2001,3037
DOGUE DE BORDEAUX,2001,661
ENGLISH SETTER,2001,599
ENGLISH TOY TERRIER Black and Tan ,2001,77
ENTLEBUCHER MOUNTAIN DOG,2001,0
ESTRELA MOUNTAIN DOG,2001,6
EURASIER,2001,0
FINNISH LAPPHUND,2001,13
FINNISH SPITZ ,2001,10
FOX TERRIER Smooth,2001,160
FOX TERRIER Wire,2001,598
FOXHOUND,2001,0
FRENCH BULLDOG,2001,229
GERMAN LONGHAIRED POINTER,2001,26
GERMAN PINSCHER,2001,30
GERMAN SHEPHERD DOG ,2001,14270
GERMAN SHORTHAIRED POINTER,2001,1210
GERMAN SPITZ Klein,2001,132
GERMAN SPITZ Mittel,2001,75
GERMAN WIREHAIRED POINTER,2001,313
GIANT SCHNAUZER,2001,179
GLEN OF IMAAL TERRIER,2001,16
GORDON SETTER,2001,288
GRAND BLEU DE GASCOGNE ,2001,0
GREAT DANE,2001,1752
GREATER SWISS MOUNTAIN DOG ,2001,0
GREENLAND DOG,2001,1
GREYHOUND,2001,57
GRIFFON BRUXELLOIS,2001,141
HAMILTONSTOVARE,2001,20
HAVANESE,2001,49
HOVAWART,2001,23
HUNGARIAN KUVASZ,2001,0
HUNGARIAN PULI,2001,60
HUNGARIAN VIZSLA,2001,502
HUNGARIAN WIREHAIRED VIZSLA,2001,123
IBIZAN HOUND,2001,4
IRISH RED and WHITE SETTER,2001,133
IRISH SETTER,2001,1142
IRISH TERRIER,2001,175
IRISH WOLFHOUND,2001,489
ITALIAN GREYHOUND,2001,89
ITALIAN SPINONE,2001,276
JAPANESE AKITA INU,2001,0
JAPANESE CHIN,2001,192
JAPANESE SHIBA INU,2001,141
JAPANESE SPITZ,2001,73
KEESHOND,2001,93
KERRY BLUE TERRIER,2001,318
KING CHARLES SPANIEL,2001,161
KOMONDOR,2001,8
Kooikerhondje,2001,5
KOREAN INDO,2001,0
KORTHALS GRIFFON ,2001,0
LAGOTTO ROMAGNOLO ,2001,24
LAKELAND TERRIER,2001,213
LANCASHIRE HEELER,2001,180
LARGE MUNSTERLANDER,2001,147
LEONBERGER,2001,259
LHASA APSO,2001,2915
LOWCHEN Little Lion Dog,2001,138
MALTESE,2001,397
MANCHESTER TERRIER,2001,92
MAREMMA SHEEPDOG,2001,34
MASTIFF,2001,496
MEXICAN HAIRLESS ,2001,0
MEXICAN HAIRLESS Intermediate  ,2001,0
MEXICAN HAIRLESS Miniature ,2001,0
MEXICAN HAIRLESS Standard ,2001,0
MINIATURE PINSCHER,2001,176
MINIATURE SCHNAUZER,2001,2351
NEAPOLITAN MASTIFF,2001,356
NEWFOUNDLAND,2001,934
NORFOLK TERRIER,2001,495
NORWEGIAN BUHUND,2001,43
NORWEGIAN ELKHOUND,2001,96
NORWICH TERRIER,2001,144
OLD ENGLISH SHEEPDOG,2001,763
OTTERHOUND,2001,34
PAPILLON,2001,662
PARSON RUSSELL TERRIER ,2001,630
PEKINGESE,2001,739
PHARAOH HOUND,2001,17
POINTER,2001,746
POLISH LOWLAND SHEEPDOG,2001,42
POMERANIAN,2001,693
POODLE Miniature,2001,914
POODLE Standard,2001,1067
POODLE Toy,2001,1329
PORTUGUESE PODENGO,2001,0
PORTUGUESE WATER DOG,2001,24
PUG,2001,871
PYRENEAN MASTIFF ,2001,0
PYRENEAN MOUNTAIN DOG,2001,201
PYRENEAN SHEEPDOG,2001,28
RETRIEVER Chesapeake Bay,2001,97
RETRIEVER Curlycoated,2001,100
RETRIEVER Flatcoated,2001,1244
RETRIEVER Golden,2001,9839
RETRIEVER Labrador,2001,33668
RETRIEVER Nova Scotia Duck Tolling,2001,87
RHODESIAN RIDGEBACK,2001,1031
ROTTWEILER,2001,5587
RUSSIAN BLACK TERRIER,2001,36
SALUKI,2001,114
SAMOYED,2001,582
SCHIPPERKE,2001,112
SCHNAUZER,2001,364
SCOTTISH TERRIER,2001,925
SEALYHAM TERRIER,2001,62
SEGUGIO ITALIANO ,2001,6
SHAR PEI,2001,947
SHETLAND SHEEPDOG,2001,1673
SHIH TZU,2001,3304
SIBERIAN HUSKY,2001,1038
SKYE TERRIER,2001,73
sloughi,2001,21
SLOVAKIAN ROUGH HAIRED POINTER ,2001,0
SMALL MUNSTERLANDER ,2001,0
SOFTCOATED WHEATEN TERRIER,2001,247
SPANIEL American Cocker,2001,512
SPANIEL American Water ,2001,0
SPANIEL Clumber,2001,111
SPANIEL Cocker,2001,12680
SPANIEL English Springer,2001,11892
SPANIEL Field,2001,73
SPANIEL Irish Water,2001,112
SPANIEL Sussex,2001,70
SPANIEL Welsh Springer,2001,360
SPANISH WATER DOG,2001,22
st bernard,2001,715
STAFFORDSHIRE BULL TERRIER,2001,10072
SWEDISH LAPPHUND,2001,6
SWEDISH VALLHUND,2001,33
TIBETAN MASTIFF,2001,25
TIBETAN SPANIEL,2001,267
TIBETAN TERRIER,2001,897
WEIMARANER,2001,2505
WELSH CORGI Cardigan,2001,50
WELSH CORGI Pembroke,2001,601
WELSH TERRIER,2001,280
WEST HIGHLAND WHITE TERRIER,2001,11019
WHIPPET,2001,1537
YORKSHIRE TERRIER,2001,5069
AFFENPINSCHER,2002,119
AFGHAN HOUND,2002,214
AIREDALE TERRIER,2002,1054
AKITA,2002,1311
ALASKAN MALAMUTE,2002,238
ANATOLIAN SHEPHERD DOG,2002,46
AUSTRALIAN  CATTLE DOG,2002,42
AUSTRALIAN SHEPHERD,2002,84
AUSTRALIAN SILKY TERRIER,2002,23
AUSTRALIAN TERRIER,2002,34
AZAWAKH,2002,0
BASENJI,2002,72
BASSET BLEU DE GASCOGNE,2002,7
BASSET FAUVE DE BRETAGNE,2002,63
BASSET GRIFFON VENDEEN Petit,2002,214
BASSET HOUND,2002,991
basset GRIFFON VENDEEN Grand,2002,144
BAVARIAN MOUNTAIN HOUND,2002,1
BEAGLE,2002,1007
BEARDED COLLIE,2002,901
BEAUCERON,2002,17
BEDLINGTON TERRIER,2002,338
BELGIAN SHEPHERD DOG,2002,349
BERGAMASCO,2002,0
BERNESE MOUNTAIN DOG,2002,769
BICHON FRISE,2002,2225
BLOODHOUND,2002,80
BOLOGNESE,2002,36
BORDER COLLIE,2002,2113
BORDER terrier,2002,5339
BORZOI,2002,107
BOSTON TERRIER,2002,184
BOUVIER DES FLANDRE,2002,103
BOXER,2002,8916
BOXER Crossbreed,2002,0
BRACCO ITALIANO,2002,15
BRIARD,2002,159
BRITTANY ,2002,98
BULL TERRIER,2002,2665
BULL TERRIER Miniature,2002,278
BULLDOG,2002,1936
BULLMASTIFF,2002,1831
CAIRN TERRIER,2002,1664
CANAAN DOG,2002,26
CANADIAN ESKIMO DOG,2002,0
CATALAN SHEEPDOG,2002,
CAVALIER KING CHARLES SPANIEL,2002,9984
CESKY TERRIER,2002,22
CHIHUAHUA Long Coat,2002,865
CHIHUAHUA Smooth Coat,2002,373
CHINESE CRESTED ,2002,399
CHOW CHOW,2002,407
CIRNECO DELLETNA,2002,0
COLLIE Rough,2002,1492
COLLIE Smooth,2002,85
COTON DE TULEAR,2002,21
DACHSHUND LongHaired,2002,187
DACHSHUND Miniature LongHaired,2002,1347
DACHSHUND Miniature SmoothHaired,2002,1102
DACHSHUND Miniature WireHaired,2002,715
DACHSHUND SmoothHaired,2002,216
DACHSHUND WireHaired,2002,357
DALMATIAN,2002,2071
DANDIE DINMONT TERRIER,2002,148
DEERHOUND,2002,231
DOBERMANN,2002,2706
DOGUE DE BORDEAUX,2002,797
ENGLISH SETTER,2002,568
ENGLISH TOY TERRIER Black and Tan ,2002,56
ENTLEBUCHER MOUNTAIN DOG,2002,0
ESTRELA MOUNTAIN DOG,2002,51
EURASIER,2002,0
FINNISH LAPPHUND,2002,17
FINNISH SPITZ ,2002,29
FOX TERRIER Smooth,2002,167
FOX TERRIER Wire,2002,665
FOXHOUND,2002,7
FRENCH BULLDOG,2002,247
GERMAN LONGHAIRED POINTER,2002,13
GERMAN PINSCHER,2002,20
GERMAN SHEPHERD DOG ,2002,14177
GERMAN SHORTHAIRED POINTER,2002,1348
GERMAN SPITZ Klein,2002,77
GERMAN SPITZ Mittel,2002,85
GERMAN WIREHAIRED POINTER,2002,396
GIANT SCHNAUZER,2002,258
GLEN OF IMAAL TERRIER,2002,48
GORDON SETTER,2002,250
GRAND BLEU DE GASCOGNE ,2002,0
GREAT DANE,2002,1736
GREATER SWISS MOUNTAIN DOG ,2002,0
GREENLAND DOG,2002,6
GREYHOUND,2002,24
GRIFFON BRUXELLOIS,2002,141
HAMILTONSTOVARE,2002,23
HAVANESE,2002,37
HOVAWART,2002,14
HUNGARIAN KUVASZ,2002,0
HUNGARIAN PULI,2002,78
HUNGARIAN VIZSLA,2002,731
HUNGARIAN WIREHAIRED VIZSLA,2002,72
IBIZAN HOUND,2002,13
IRISH RED and WHITE SETTER,2002,99
IRISH SETTER,2002,1225
IRISH TERRIER,2002,198
IRISH WOLFHOUND,2002,507
ITALIAN GREYHOUND,2002,105
ITALIAN SPINONE,2002,379
JAPANESE AKITA INU,2002,0
JAPANESE CHIN,2002,197
JAPANESE SHIBA INU,2002,163
JAPANESE SPITZ,2002,115
KEESHOND,2002,88
KERRY BLUE TERRIER,2002,244
KING CHARLES SPANIEL,2002,150
KOMONDOR,2002,0
Kooikerhondje,2002,7
KOREAN INDO,2002,0
KORTHALS GRIFFON ,2002,0
LAGOTTO ROMAGNOLO ,2002,19
LAKELAND TERRIER,2002,269
LANCASHIRE HEELER,2002,125
LARGE MUNSTERLANDER,2002,153
LEONBERGER,2002,371
LHASA APSO,2002,3065
LOWCHEN Little Lion Dog,2002,116
MALTESE,2002,396
MANCHESTER TERRIER,2002,86
MAREMMA SHEEPDOG,2002,22
MASTIFF,2002,408
MEXICAN HAIRLESS ,2002,5
MEXICAN HAIRLESS Intermediate  ,2002,0
MEXICAN HAIRLESS Miniature ,2002,0
MEXICAN HAIRLESS Standard ,2002,0
MINIATURE PINSCHER,2002,181
MINIATURE SCHNAUZER,2002,2607
NEAPOLITAN MASTIFF,2002,333
NEWFOUNDLAND,2002,930
NORFOLK TERRIER,2002,494
NORWEGIAN BUHUND,2002,34
NORWEGIAN ELKHOUND,2002,149
NORWICH TERRIER,2002,153
OLD ENGLISH SHEEPDOG,2002,620
OTTERHOUND,2002,54
PAPILLON,2002,642
PARSON RUSSELL TERRIER ,2002,673
PEKINGESE,2002,720
PHARAOH HOUND,2002,14
POINTER,2002,657
POLISH LOWLAND SHEEPDOG,2002,68
POMERANIAN,2002,664
POODLE Miniature,2002,741
POODLE Standard,2002,976
POODLE Toy,2002,1172
PORTUGUESE PODENGO,2002,0
PORTUGUESE WATER DOG,2002,38
PUG,2002,1105
PYRENEAN MASTIFF ,2002,1
PYRENEAN MOUNTAIN DOG,2002,209
PYRENEAN SHEEPDOG,2002,7
RETRIEVER Chesapeake Bay,2002,152
RETRIEVER Curlycoated,2002,79
RETRIEVER Flatcoated,2002,1296
RETRIEVER Golden,2002,10526
RETRIEVER Labrador,2002,35996
RETRIEVER Nova Scotia Duck Tolling,2002,82
RHODESIAN RIDGEBACK,2002,1128
ROTTWEILER,2002,5802
RUSSIAN BLACK TERRIER,2002,69
SALUKI,2002,204
SAMOYED,2002,523
SCHIPPERKE,2002,100
SCHNAUZER,2002,372
SCOTTISH TERRIER,2002,982
SEALYHAM TERRIER,2002,58
SEGUGIO ITALIANO ,2002,0
SHAR PEI,2002,1040
SHETLAND SHEEPDOG,2002,1500
SHIH TZU,2002,3113
SIBERIAN HUSKY,2002,985
SKYE TERRIER,2002,59
sloughi,2002,6
SLOVAKIAN ROUGH HAIRED POINTER ,2002,5
SMALL MUNSTERLANDER ,2002,0
SOFTCOATED WHEATEN TERRIER,2002,277
SPANIEL American Cocker,2002,503
SPANIEL American Water ,2002,0
SPANIEL Clumber,2002,170
SPANIEL Cocker,2002,13417
SPANIEL English Springer,2002,12431
SPANIEL Field,2002,84
SPANIEL Irish Water,2002,145
SPANIEL Sussex,2002,82
SPANIEL Welsh Springer,2002,437
SPANISH WATER DOG,2002,37
st bernard,2002,821
STAFFORDSHIRE BULL TERRIER,2002,10711
SWEDISH LAPPHUND,2002,0
SWEDISH VALLHUND,2002,17
TIBETAN MASTIFF,2002,44
TIBETAN SPANIEL,2002,254
TIBETAN TERRIER,2002,996
WEIMARANER,2002,2472
WELSH CORGI Cardigan,2002,56
WELSH CORGI Pembroke,2002,518
WELSH TERRIER,2002,270
WEST HIGHLAND WHITE TERRIER,2002,10015
WHIPPET,2002,1823
YORKSHIRE TERRIER,2002,4222
AFFENPINSCHER,2003,196
AFGHAN HOUND,2003,264
AIREDALE TERRIER,2003,855
AKITA,2003,1593
ALASKAN MALAMUTE,2003,341
ANATOLIAN SHEPHERD DOG,2003,79
AUSTRALIAN  CATTLE DOG,2003,67
AUSTRALIAN SHEPHERD,2003,84
AUSTRALIAN SILKY TERRIER,2003,8
AUSTRALIAN TERRIER,2003,38
AZAWAKH,2003,1
BASENJI,2003,32
BASSET BLEU DE GASCOGNE,2003,0
BASSET FAUVE DE BRETAGNE,2003,68
BASSET GRIFFON VENDEEN Petit,2003,166
BASSET HOUND,2003,1169
basset GRIFFON VENDEEN Grand,2003,97
BAVARIAN MOUNTAIN HOUND,2003,1
BEAGLE,2003,1300
BEARDED COLLIE,2003,668
BEAUCERON,2003,26
BEDLINGTON TERRIER,2003,403
BELGIAN SHEPHERD DOG,2003,307
BERGAMASCO,2003,0
BERNESE MOUNTAIN DOG,2003,839
BICHON FRISE,2003,2142
BLOODHOUND,2003,112
BOLOGNESE,2003,60
BORDER COLLIE,2003,2111
BORDER terrier,2003,6447
BORZOI,2003,138
BOSTON TERRIER,2003,213
BOUVIER DES FLANDRE,2003,126
BOXER,2003,9542
BOXER Crossbreed,2003,0
BRACCO ITALIANO,2003,23
BRIARD,2003,209
BRITTANY ,2003,105
BULL TERRIER,2003,2924
BULL TERRIER Miniature,2003,234
BULLDOG,2003,2270
BULLMASTIFF,2003,1768
CAIRN TERRIER,2003,1605
CANAAN DOG,2003,19
CANADIAN ESKIMO DOG,2003,8
CATALAN SHEEPDOG,2003,0
CAVALIER KING CHARLES SPANIEL,2003,10614
CESKY TERRIER,2003,13
CHIHUAHUA Long Coat,2003,878
CHIHUAHUA Smooth Coat,2003,440
CHINESE CRESTED ,2003,397
CHOW CHOW,2003,424
CIRNECO DELLETNA,2003,6
COLLIE Rough,2003,1377
COLLIE Smooth,2003,77
COTON DE TULEAR,2003,29
DACHSHUND LongHaired,2003,189
DACHSHUND Miniature LongHaired,2003,1359
DACHSHUND Miniature SmoothHaired,2003,1270
DACHSHUND Miniature WireHaired,2003,693
DACHSHUND SmoothHaired,2003,175
DACHSHUND WireHaired,2003,310
DALMATIAN,2003,2253
DANDIE DINMONT TERRIER,2003,90
DEERHOUND,2003,232
DOBERMANN,2003,3171
DOGUE DE BORDEAUX,2003,1238
ENGLISH SETTER,2003,577
ENGLISH TOY TERRIER Black and Tan ,2003,88
ENTLEBUCHER MOUNTAIN DOG,2003,0
ESTRELA MOUNTAIN DOG,2003,21
EURASIER,2003,9
FINNISH LAPPHUND,2003,42
FINNISH SPITZ ,2003,29
FOX TERRIER Smooth,2003,226
FOX TERRIER Wire,2003,593
FOXHOUND,2003,13
FRENCH BULLDOG,2003,349
GERMAN LONGHAIRED POINTER,2003,18
GERMAN PINSCHER,2003,20
GERMAN SHEPHERD DOG ,2003,14892
GERMAN SHORTHAIRED POINTER,2003,1406
GERMAN SPITZ Klein,2003,144
GERMAN SPITZ Mittel,2003,130
GERMAN WIREHAIRED POINTER,2003,413
GIANT SCHNAUZER,2003,259
GLEN OF IMAAL TERRIER,2003,26
GORDON SETTER,2003,399
GRAND BLEU DE GASCOGNE ,2003,3
GREAT DANE,2003,1892
GREATER SWISS MOUNTAIN DOG ,2003,0
GREENLAND DOG,2003,14
GREYHOUND,2003,84
GRIFFON BRUXELLOIS,2003,192
HAMILTONSTOVARE,2003,28
HAVANESE,2003,81
HOVAWART,2003,33
HUNGARIAN KUVASZ,2003,0
HUNGARIAN PULI,2003,83
HUNGARIAN VIZSLA,2003,773
HUNGARIAN WIREHAIRED VIZSLA,2003,157
IBIZAN HOUND,2003,6
IRISH RED and WHITE SETTER,2003,123
IRISH SETTER,2003,1293
IRISH TERRIER,2003,303
IRISH WOLFHOUND,2003,437
ITALIAN GREYHOUND,2003,92
ITALIAN SPINONE,2003,325
JAPANESE AKITA INU,2003,0
JAPANESE CHIN,2003,227
JAPANESE SHIBA INU,2003,128
JAPANESE SPITZ,2003,87
KEESHOND,2003,77
KERRY BLUE TERRIER,2003,283
KING CHARLES SPANIEL,2003,176
KOMONDOR,2003,11
Kooikerhondje,2003,2
KOREAN INDO,2003,0
KORTHALS GRIFFON ,2003,0
LAGOTTO ROMAGNOLO ,2003,34
LAKELAND TERRIER,2003,213
LANCASHIRE HEELER,2003,208
LARGE MUNSTERLANDER,2003,147
LEONBERGER,2003,315
LHASA APSO,2003,3344
LOWCHEN Little Lion Dog,2003,122
MALTESE,2003,381
MANCHESTER TERRIER,2003,122
MAREMMA SHEEPDOG,2003,17
MASTIFF,2003,580
MEXICAN HAIRLESS ,2003,0
MEXICAN HAIRLESS Intermediate  ,2003,0
MEXICAN HAIRLESS Miniature ,2003,0
MEXICAN HAIRLESS Standard ,2003,0
MINIATURE PINSCHER,2003,170
MINIATURE SCHNAUZER,2003,2873
NEAPOLITAN MASTIFF,2003,317
NEWFOUNDLAND,2003,978
NORFOLK TERRIER,2003,472
NORWEGIAN BUHUND,2003,42
NORWEGIAN ELKHOUND,2003,122
NORWICH TERRIER,2003,143
OLD ENGLISH SHEEPDOG,2003,729
OTTERHOUND,2003,31
PAPILLON,2003,708
PARSON RUSSELL TERRIER ,2003,969
PEKINGESE,2003,682
PHARAOH HOUND,2003,13
POINTER,2003,858
POLISH LOWLAND SHEEPDOG,2003,35
POMERANIAN,2003,652
POODLE Miniature,2003,897
POODLE Standard,2003,1116
POODLE Toy,2003,1354
PORTUGUESE PODENGO,2003,35
PORTUGUESE WATER DOG,2003,67
PUG,2003,1392
PYRENEAN MASTIFF ,2003,4
PYRENEAN MOUNTAIN DOG,2003,213
PYRENEAN SHEEPDOG,2003,35
RETRIEVER Chesapeake Bay,2003,128
RETRIEVER Curlycoated,2003,125
RETRIEVER Flatcoated,2003,1353
RETRIEVER Golden,2003,10710
RETRIEVER Labrador,2003,41306
RETRIEVER Nova Scotia Duck Tolling,2003,91
RHODESIAN RIDGEBACK,2003,1255
ROTTWEILER,2003,6369
RUSSIAN BLACK TERRIER,2003,91
SALUKI,2003,85
SAMOYED,2003,367
SCHIPPERKE,2003,104
SCHNAUZER,2003,383
SCOTTISH TERRIER,2003,1055
SEALYHAM TERRIER,2003,60
SEGUGIO ITALIANO ,2003,2
SHAR PEI,2003,1220
SHETLAND SHEEPDOG,2003,1684
SHIH TZU,2003,3343
SIBERIAN HUSKY,2003,1491
SKYE TERRIER,2003,67
sloughi,2003,8
SLOVAKIAN ROUGH HAIRED POINTER ,2003,19
SMALL MUNSTERLANDER ,2003,0
SOFTCOATED WHEATEN TERRIER,2003,352
SPANIEL American Cocker,2003,549
SPANIEL American Water ,2003,0
SPANIEL Clumber,2003,134
SPANIEL Cocker,2003,14832
SPANIEL English Springer,2003,13877
SPANIEL Field,2003,75
SPANIEL Irish Water,2003,121
SPANIEL Sussex,2003,68
SPANIEL Welsh Springer,2003,362
SPANISH WATER DOG,2003,70
st bernard,2003,762
STAFFORDSHIRE BULL TERRIER,2003,11325
SWEDISH LAPPHUND,2003,0
SWEDISH VALLHUND,2003,40
TIBETAN MASTIFF,2003,28
TIBETAN SPANIEL,2003,275
TIBETAN TERRIER,2003,1089
WEIMARANER,2003,2978
WELSH CORGI Cardigan,2003,74
WELSH CORGI Pembroke,2003,559
WELSH TERRIER,2003,319
WEST HIGHLAND WHITE TERRIER,2003,9823
WHIPPET,2003,1946
YORKSHIRE TERRIER,2003,4073
AFFENPINSCHER,2004,178
AFGHAN HOUND,2004,235
AIREDALE TERRIER,2004,988
AKITA,2004,1688
ALASKAN MALAMUTE,2004,586
ANATOLIAN SHEPHERD DOG,2004,66
AUSTRALIAN  CATTLE DOG,2004,93
AUSTRALIAN SHEPHERD,2004,164
AUSTRALIAN SILKY TERRIER,2004,19
AUSTRALIAN TERRIER,2004,60
AZAWAKH,2004,11
BASENJI,2004,53
BASSET BLEU DE GASCOGNE,2004,8
BASSET FAUVE DE BRETAGNE,2004,78
BASSET GRIFFON VENDEEN Petit,2004,209
BASSET HOUND,2004,1190
basset GRIFFON VENDEEN Grand,2004,137
BAVARIAN MOUNTAIN HOUND,2004,3
BEAGLE,2004,1451
BEARDED COLLIE,2004,821
BEAUCERON,2004,8
BEDLINGTON TERRIER,2004,536
BELGIAN SHEPHERD DOG,2004,371
BERGAMASCO,2004,4
BERNESE MOUNTAIN DOG,2004,812
BICHON FRISE,2004,2311
BLOODHOUND,2004,126
BOLOGNESE,2004,63
BORDER COLLIE,2004,2230
BORDER terrier,2004,7355
BORZOI,2004,139
BOSTON TERRIER,2004,242
BOUVIER DES FLANDRE,2004,132
BOXER,2004,9689
BOXER Crossbreed,2004,0
BRACCO ITALIANO,2004,23
BRIARD,2004,144
BRITTANY ,2004,150
BULL TERRIER,2004,2996
BULL TERRIER Miniature,2004,201
BULLDOG,2004,2636
BULLMASTIFF,2004,1896
CAIRN TERRIER,2004,1761
CANAAN DOG,2004,22
CANADIAN ESKIMO DOG,2004,0
CATALAN SHEEPDOG,2004,0
CAVALIER KING CHARLES SPANIEL,2004,10733
CESKY TERRIER,2004,31
CHIHUAHUA Long Coat,2004,1035
CHIHUAHUA Smooth Coat,2004,542
CHINESE CRESTED ,2004,419
CHOW CHOW,2004,381
CIRNECO DELLETNA,2004,3
COLLIE Rough,2004,1241
COLLIE Smooth,2004,72
COTON DE TULEAR,2004,25
DACHSHUND LongHaired,2004,169
DACHSHUND Miniature LongHaired,2004,1401
DACHSHUND Miniature SmoothHaired,2004,1445
DACHSHUND Miniature WireHaired,2004,782
DACHSHUND SmoothHaired,2004,257
DACHSHUND WireHaired,2004,331
DALMATIAN,2004,2223
DANDIE DINMONT TERRIER,2004,81
DEERHOUND,2004,331
DOBERMANN,2004,3341
DOGUE DE BORDEAUX,2004,1593
ENGLISH SETTER,2004,547
ENGLISH TOY TERRIER Black and Tan ,2004,103
ENTLEBUCHER MOUNTAIN DOG,2004,5
ESTRELA MOUNTAIN DOG,2004,34
EURASIER,2004,23
FINNISH LAPPHUND,2004,39
FINNISH SPITZ ,2004,36
FOX TERRIER Smooth,2004,188
FOX TERRIER Wire,2004,748
FOXHOUND,2004,0
FRENCH BULLDOG,2004,350
GERMAN LONGHAIRED POINTER,2004,26
GERMAN PINSCHER,2004,19
GERMAN SHEPHERD DOG ,2004,13578
GERMAN SHORTHAIRED POINTER,2004,1448
GERMAN SPITZ Klein,2004,133
GERMAN SPITZ Mittel,2004,72
GERMAN WIREHAIRED POINTER,2004,420
GIANT SCHNAUZER,2004,339
GLEN OF IMAAL TERRIER,2004,43
GORDON SETTER,2004,356
GRAND BLEU DE GASCOGNE ,2004,2
GREAT DANE,2004,1728
GREATER SWISS MOUNTAIN DOG ,2004,0
GREENLAND DOG,2004,10
GREYHOUND,2004,31
GRIFFON BRUXELLOIS,2004,172
HAMILTONSTOVARE,2004,32
HAVANESE,2004,69
HOVAWART,2004,12
HUNGARIAN KUVASZ,2004,2
HUNGARIAN PULI,2004,66
HUNGARIAN VIZSLA,2004,867
